2018-09-14 15:11:39,347 [1] INFO  CSV_Processor.Program Completed: 14/09/2018 3:11:39 PM
[Footer]\r\n[Header]\r\n2018-09-14 15:12:19,971 [1] INFO  CSV_Processor.Program Started: 14/09/2018 3:12:19 PM
[Footer]\r\n[Header]\r\n2018-09-14 15:26:16,774 [1] INFO  CSV_Processor.Program Started: 14/09/2018 3:26:16 PM
[Footer]\r\n[Header]\r\n2018-09-14 15:26:40,037 [1] INFO  CSV_Processor.Program Started: 14/09/2018 3:26:40 PM
2018-09-14 15:26:41,923 [1] INFO  CSV_Processor.Program Started Processing: ./TOU_214667141_20150901T040057.csv
[Footer]\r\n[Header]\r\n2018-09-14 15:27:37,480 [1] INFO  CSV_Processor.Program Started: 14/09/2018 3:27:37 PM
[Footer]\r\n[Header]\r\n2018-09-14 15:31:05,993 [1] INFO  CSV_Processor.Program Started: 14/09/2018 3:31:05 PM
2018-09-14 15:31:45,770 [1] INFO  CSV_Processor.Program Started Processing: ./TOU_214667141_20150901T040057.csv
2018-09-14 15:31:45,804 [1] INFO  CSV_Processor.Program Completed Processing Successfully: ./TOU_214667141_20150901T040057.csv
2018-09-14 15:31:46,924 [1] INFO  CSV_Processor.Program Creating datatable...
2018-09-14 15:31:46,924 [1] INFO  CSV_Processor.Program Completed creating datatable...
[Footer]\r\n[Header]\r\n2018-09-14 15:34:39,505 [1] INFO  CSV_Processor.Program Started: 14/09/2018 3:34:39 PM
2018-09-14 15:34:53,640 [1] INFO  CSV_Processor.Program Started Processing: ./TOU_214667141_20150901T040057.csv
2018-09-14 15:34:53,667 [1] INFO  CSV_Processor.Program Completed Processing Successfully: ./TOU_214667141_20150901T040057.csv
2018-09-14 15:34:54,583 [1] INFO  CSV_Processor.Program Creating datatable...
2018-09-14 15:34:54,583 [1] INFO  CSV_Processor.Program Completed creating datatable...
[Footer]\r\n[Header]\r\n2018-09-14 15:36:03,547 [1] INFO  CSV_Processor.Program Started: 14/09/2018 3:36:03 PM
2018-09-14 15:36:15,314 [1] INFO  CSV_Processor.Program Started Processing: ./TOU_214667141_20150901T040057.csv
2018-09-14 15:36:15,340 [1] INFO  CSV_Processor.Program Completed Processing Successfully: ./TOU_214667141_20150901T040057.csv
2018-09-14 15:36:16,004 [1] INFO  CSV_Processor.Program Creating datatable...
2018-09-14 15:36:16,004 [1] INFO  CSV_Processor.Program Completed creating datatable...
[Footer]\r\n[Header]\r\n2018-09-14 15:37:00,647 [1] INFO  CSV_Processor.Program Started: 14/09/2018 3:37:00 PM
2018-09-14 15:37:06,242 [1] INFO  CSV_Processor.Program Started Processing: ./TOU_214667141_20150901T040057.csv
2018-09-14 15:37:06,266 [1] INFO  CSV_Processor.Program Completed Processing Successfully: ./TOU_214667141_20150901T040057.csv
2018-09-14 15:37:06,267 [1] INFO  CSV_Processor.Program Creating datatable...
2018-09-14 15:37:06,267 [1] INFO  CSV_Processor.Program Completed creating datatable...
[Footer]\r\n[Header]\r\n2018-09-14 18:09:39,331 [1] INFO  CSV_Processor.Program Started: 14/09/2018 6:09:39 PM
2018-09-14 18:09:57,773 [1] INFO  CSV_Processor.Program Started Processing: ./TOU_214667141_20150901T040057.csv
2018-09-14 18:09:57,801 [1] INFO  CSV_Processor.Program Completed Processing Successfully: ./TOU_214667141_20150901T040057.csv
2018-09-14 18:09:57,802 [1] INFO  CSV_Processor.Program Creating datatable...
2018-09-14 18:09:57,829 [1] INFO  CSV_Processor.Program Completed creating datatable...
2018-09-14 18:10:03,202 [1] INFO  CSV_Processor.Program Median is: 0.146
[Footer]\r\n[Header]\r\n2018-09-14 19:12:52,575 [1] INFO  CSV_Processor.Program Started: 14/09/2018 7:12:52 PM
2018-09-14 19:13:10,779 [1] INFO  CSV_Processor.Program Started Processing: ./TOU_214667141_20150901T040057.csv
2018-09-14 19:13:10,806 [1] INFO  CSV_Processor.Program Completed Processing Successfully: ./TOU_214667141_20150901T040057.csv
2018-09-14 19:13:11,966 [1] INFO  CSV_Processor.Program Creating datatable...
2018-09-14 19:13:11,987 [1] INFO  CSV_Processor.Program Completed creating datatable...
2018-09-14 19:13:29,986 [1] INFO  CSV_Processor.Program Median is: 0.146
2018-09-14 19:13:41,484 [1] INFO  CSV_Processor.Program Completed: 14/09/2018 7:13:41 PM
[Footer]\r\n[Header]\r\n2018-09-14 19:15:30,872 [1] INFO  CSV_Processor.Program Started: 14/09/2018 7:15:30 PM
2018-09-14 19:15:48,136 [1] INFO  CSV_Processor.Program Files found: 1
2018-09-14 19:15:50,439 [1] INFO  CSV_Processor.Program Started Processing: ./TOU_214667141_20150901T040057.csv
2018-09-14 19:15:50,466 [1] INFO  CSV_Processor.Program Completed Processing Successfully: ./TOU_214667141_20150901T040057.csv
2018-09-14 19:15:50,467 [1] INFO  CSV_Processor.Program Creating datatable...
2018-09-14 19:15:50,486 [1] INFO  CSV_Processor.Program Completed creating datatable...
